series_id,provider,model,model_family,archetype,prompt_language,setting,reasoning,n_requested,n_entries,n_success,n_failed,literal_unique_count,classification,first_response_count,dominant_response_count,rest_unique_count,first_ttft_seconds,rest_ttft_seconds_p10,rest_ttft_seconds_median,rest_ttft_seconds_p90,first_response_sha256,dominant_response_sha256,variant_summary
0300-lmstudio-apertus-roundtrip-de-baseline,LMSTUDIO,swiss-ai_apertus-8b-instruct-2509,apertus,ADVISORY_RECOMMENDATION_SWISS_ROUND_TRIP,DE,baseline,,100,100,100,0,2,FIRST_DIFF_REST_SAME,1,99,1,0.075,0.022,0.035,0.037,da98a8cab6465f90dde1e681f786f433909efe975a176e165fd6999a4329520d,1d330f6ff901d222ee84f721d5d0eeecbf3286c3830b5defa54a1ea733b41056,v1=1@1#da98a8cab646;v2=99@2-100#1d330f6ff901
0302-lmstudio-apertus-roundtrip-it-baseline,LMSTUDIO,swiss-ai_apertus-8b-instruct-2509,apertus,ADVISORY_RECOMMENDATION_SWISS_ROUND_TRIP,IT,baseline,,100,100,100,0,2,FIRST_DIFF_REST_SAME,1,99,1,0.075,0.023,0.036,0.037,cce1c5c1961104e792eb32c2e751feff8805ef5d2dde18851d491fdf761da54a,7bbde426f638fccd455b3ce47e24e6c3f7c9fd0266d0606f7a63c4242c069783,v1=1@1#cce1c5c19611;v2=99@2-100#7bbde426f638
0303-lmstudio-apertus-roundtrip-fr-baseline,LMSTUDIO,swiss-ai_apertus-8b-instruct-2509,apertus,ADVISORY_RECOMMENDATION_SWISS_ROUND_TRIP,FR,baseline,,100,100,100,0,2,FIRST_DIFF_REST_SAME,1,99,1,0.077,0.022,0.036,0.037,c61f4d1d1581cf27c9440e2eb95f5df1a42797b514b7ebffca088fd1222a8590,db148fd2c999bfb2a1726fec9e48f474fa0d8acb1e861ca662e41cb88517b815,v1=1@1#c61f4d1d1581;v2=99@2-100#db148fd2c999
0304-lmstudio-apertus-roundtrip-en-baseline,LMSTUDIO,swiss-ai_apertus-8b-instruct-2509,apertus,ADVISORY_RECOMMENDATION_SWISS_ROUND_TRIP,EN,baseline,,100,100,100,0,2,FIRST_DIFF_REST_SAME,1,99,1,0.078,0.021,0.035,0.037,a6cd2792d111cfd309221fa90387d05b2ffab4ca179551778b984ca386ec706e,76490f8a3d2f46d2d3ac6cd3266c13fb5d3c9c4d8f6815633be351f03a95e6e3,v1=1@1#a6cd2792d111;v2=99@2-100#76490f8a3d2f
0305-lmstudio-apertus-factual-baseline,LMSTUDIO,swiss-ai_apertus-8b-instruct-2509,apertus,FACTUAL_CRITICAL_BERN_ZURICH_CONNECTION,DE,baseline,,100,100,100,0,1,ALL_SAME,100,100,1,0.087,0.019,0.021,0.022,35ef7e4def5a16fc98b5281136cfd8ebbc3011aa76045577b3d45950ac309e74,35ef7e4def5a16fc98b5281136cfd8ebbc3011aa76045577b3d45950ac309e74,v1=100@1-100#35ef7e4def5a
0306-lmstudio-apertus-literal-baseline,LMSTUDIO,swiss-ai_apertus-8b-instruct-2509,apertus,LITERAL_FORMAT_CRITICAL_TRAVELER_GUIDANCE,DE,baseline,,100,100,100,0,1,ALL_SAME,100,100,1,0.104,0.019,0.021,0.028,9fbd2eae3af0d8c5d8c6545856abdad7b32f4a45647402d992d051e488bfb8d7,9fbd2eae3af0d8c5d8c6545856abdad7b32f4a45647402d992d051e488bfb8d7,v1=100@1-100#9fbd2eae3af0
0307-lmstudio-apertus-creative-baseline,LMSTUDIO,swiss-ai_apertus-8b-instruct-2509,apertus,CREATIVE_GENERATIVE_LUCERNE_MARKETING,DE,baseline,,100,100,100,0,2,FIRST_DIFF_REST_SAME,1,99,1,0.069,0.02,0.021,0.022,f34067476f73abbb28ea962359441bcb408faa5e0122fecc8bbef796082b7951,6a6eaae3c50056ad05e9edfc0c3a8289dfcb411d03162d8e7fa61d7f87144c6a,v1=1@1#f34067476f73;v2=99@2-100#6a6eaae3c500
0500-lmstudio-gptoss20b-roundtrip-de-reasoning-low-baseline,LMSTUDIO,openai/gpt-oss-20b,gpt-oss,ADVISORY_RECOMMENDATION_SWISS_ROUND_TRIP,DE,baseline,low,100,100,100,0,2,FIRST_DIFF_REST_SAME,1,99,1,1.189,0.067,0.069,0.082,d9a594816684076272e8edb9d6d755e80818f18dd6a15fd964176bfdf909d484,b5e2309bc68e7b697d9dba1814cd17e70a360fc0700a39d1b18ebc5e7fae4244,v1=1@1#d9a594816684;v2=99@2-100#b5e2309bc68e
0502-lmstudio-gptoss20b-roundtrip-it-reasoning-low-baseline,LMSTUDIO,openai/gpt-oss-20b,gpt-oss,ADVISORY_RECOMMENDATION_SWISS_ROUND_TRIP,IT,baseline,low,100,100,100,0,2,FIRST_DIFF_REST_SAME,1,99,1,1.207,0.067,0.072,0.087,78d86133f4ecdf7fd3fdf5d3572793ca9521c98f087f1ace42fd08a23adb5f14,1723c3614c1982ff2e031e0830baa7219b6e5e855b8d870ae061896f037ea511,v1=1@1#78d86133f4ec;v2=99@2-100#1723c3614c19
0503-lmstudio-gptoss20b-roundtrip-fr-reasoning-low-baseline,LMSTUDIO,openai/gpt-oss-20b,gpt-oss,ADVISORY_RECOMMENDATION_SWISS_ROUND_TRIP,FR,baseline,low,100,100,100,0,2,FIRST_DIFF_REST_SAME,1,99,1,1.231,0.068,0.071,0.081,ff1a68d28df9c100094a7ed1b2869ab3e894e978fe0fcc035aea23b0fd7bb704,3224d7057f96080123fb899b11972fc2f8597e0730d0af36500b183639eab5e8,v1=1@1#ff1a68d28df9;v2=99@2-100#3224d7057f96
