series_id,provider,model,model_version,archetype,prompt_language,setting,temperature,top_p,top_k,seed,reasoning,n_requested,n_success,n_failed,semantic_valid_rate,semantic_outlier_rate,literal_unique_count,literal_top1_share,largest_cluster_share,median_rouge_distance,p90_rouge_distance,median_bleu_distance,p90_bleu_distance,input_tokens_total,input_tokens_p10,input_tokens_median,input_tokens_p90,output_tokens_total,output_tokens_p10,output_tokens_median,output_tokens_p90,reasoning_tokens_total,reasoning_tokens_p10,reasoning_tokens_median,reasoning_tokens_p90,duration_seconds_total,duration_seconds_p10,duration_seconds_median,duration_seconds_p90
0100-anthropic-sonnet46-roundtrip-de-baseline,ANTHROPIC,claude-sonnet-4-6,claude-sonnet-4-6,ADVISORY_RECOMMENDATION_SWISS_ROUND_TRIP,DE,baseline,0.0,,1,,off,100,100,0,1.0,0.0,30,0.29,1.0,0.3109243697478993,0.4285714285714285,0.4481986685927457,0.7083352593928265,10100,101.0,101.0,101.0,19833,183.0,196.5,226.0,0,0.0,0.0,0.0,561.714,4.395,4.76,5.897
0101-anthropic-sonnet46-roundtrip-de-mittel,ANTHROPIC,claude-sonnet-4-6,claude-sonnet-4-6,ADVISORY_RECOMMENDATION_SWISS_ROUND_TRIP,DE,mittel,0.7,,20,,off,100,100,0,1.0,0.0,100,0.01,0.82,0.4027777777777778,0.5107913669064748,0.6478980126444231,0.7751728813339418,10100,101.0,101.0,101.0,20799,182.0,200.5,250.0,0,0.0,0.0,0.0,514.41,4.47,5.0365,5.891
0102-anthropic-sonnet46-roundtrip-it-baseline,ANTHROPIC,claude-sonnet-4-6,claude-sonnet-4-6,ADVISORY_RECOMMENDATION_SWISS_ROUND_TRIP,IT,baseline,0.0,,1,,off,100,100,0,1.0,0.0,46,0.11,0.79,0.3092105263157895,0.4605263157894738,0.47611272090089496,0.6325371044981902,10300,103.0,103.0,103.0,32510,299.0,311.0,363.0,0,0.0,0.0,0.0,817.465,7.368,7.9265,9.082
0103-anthropic-sonnet46-roundtrip-fr-baseline,ANTHROPIC,claude-sonnet-4-6,claude-sonnet-4-6,ADVISORY_RECOMMENDATION_SWISS_ROUND_TRIP,FR,baseline,0.0,,1,,off,100,100,0,1.0,0.0,7,0.22,0.37,0.11894273127753308,0.4123222748815166,0.21092665961277313,0.6237776351688525,11200,112.0,112.0,112.0,23173,217.0,230.0,246.0,0,0.0,0.0,0.0,573.264,5.278,5.634,6.39
0104-anthropic-sonnet46-roundtrip-en-baseline,ANTHROPIC,claude-sonnet-4-6,claude-sonnet-4-6,ADVISORY_RECOMMENDATION_SWISS_ROUND_TRIP,EN,baseline,0.0,,1,,off,100,100,0,1.0,0.0,34,0.17,0.45,0.13913043478260867,0.31380753138075324,0.2868671244552513,0.5067598896555638,6900,69.0,69.0,69.0,18099,159.0,179.0,197.0,0,0.0,0.0,0.0,510.777,4.244,4.9365000000000006,5.639
0105-anthropic-sonnet46-factual-baseline,ANTHROPIC,claude-sonnet-4-6,claude-sonnet-4-6,FACTUAL_CRITICAL_BERN_ZURICH_CONNECTION,DE,baseline,0.0,,1,,off,100,100,0,1.0,0.0,4,0.63,1.0,0.06382978723404265,0.08695652173913049,0.12939004512547148,0.14579677813931324,15600,156.0,156.0,156.0,5508,55.0,55.0,55.0,0,0.0,0.0,0.0,204.353,1.639,1.9195,2.354
0106-anthropic-sonnet46-literal-baseline,ANTHROPIC,claude-sonnet-4-6,claude-sonnet-4-6,LITERAL_FORMAT_CRITICAL_TRAVELER_GUIDANCE,DE,baseline,0.0,,1,,off,100,100,0,1.0,0.0,1,1.0,1.0,,,,,32400,324.0,324.0,324.0,3800,38.0,38.0,38.0,0,0.0,0.0,0.0,179.836,1.271,1.637,2.278
0107-anthropic-sonnet46-creative-baseline,ANTHROPIC,claude-sonnet-4-6,claude-sonnet-4-6,CREATIVE_GENERATIVE_LUCERNE_MARKETING,DE,baseline,0.0,,1,,off,100,100,0,1.0,0.0,24,0.51,1.0,0.4782608695652174,0.6028368794326242,0.6139056196747078,0.7836982548116814,5000,50.0,50.0,50.0,17259,165.0,165.0,186.0,0,0.0,0.0,0.0,463.706,4.08,4.4245,5.119
0200-google-gemini35flash-roundtrip-de-baseline,GOOGLE,gemini-3.5-flash,gemini-3.5-flash,ADVISORY_RECOMMENDATION_SWISS_ROUND_TRIP,DE,baseline,0.0,1.0,1,,off,100,100,0,1.0,0.0,1,1.0,1.0,0.0,0.0,0.0,0.0,6200,62.0,62.0,62.0,25800,258.0,258.0,258.0,0,0.0,0.0,0.0,195.62,1.852,1.959,2.045
0201-google-gemini35flash-roundtrip-de-mittel,GOOGLE,gemini-3.5-flash,gemini-3.5-flash,ADVISORY_RECOMMENDATION_SWISS_ROUND_TRIP,DE,mittel,0.7,0.4,20,,off,100,100,0,1.0,0.0,16,0.51,0.67,0.0,0.10619469026548678,0.0,0.17033639635417375,6200,62.0,62.0,62.0,24511,232.0,245.0,258.0,0,0.0,0.0,0.0,192.129,1.759,1.8875,2.038
